pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
3,0,1,1,0,2,3,0,1,0,2,3,0,0,0,0,132040114,0.8927632914740138,0.9174964438122333
3,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,116052575,0.8963944798125597,0.9198697505790729
3,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,185067560,0.9975383267881637,0.9987695421072684
3,0,2,3,0,2,5,0,3,0,2,5,0,0,0,0,162188930,0.9960167972770537,0.9980033173723907
3,1,0,7,0,10,15,2,11,0,10,17,4,0,4,0,744827606,0.9409233608003759,0.9774252761458732
3,1,0,3,0,9,10,2,3,0,9,10,2,0,0,0,345826693,0.8391796853468109,0.930096525096525
3,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,205153497,0.88259690817469,0.9092121495015504
3,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,268921348,0.8709552729973782,0.8983667815610604
3,1,2,5,0,2,7,0,5,0,2,7,0,0,0,0,337660347,0.9954750049773751,0.9977373868693435
3,1,2,4,0,2,5,1,4,0,2,5,1,0,0,0,334581477,0.9963751793475485,0.9981869560868261
4,0,0,1,0,6,7,0,2,0,6,7,1,0,1,0,514632541,0.9804805860301138,0.9927707127696241
4,0,0,4,0,0,0,4,4,0,0,0,4,0,0,0,195340270,0.859845999351803,0.9411394637257051
4,0,1,1,0,1,2,0,2,0,1,3,0,2,1,0,154743337,0.8787181546440723,0.906578108751803
4,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,93932021,0.8839427199443181,0.9110769755931046
4,0,2,2,0,2,4,0,2,0,2,4,0,0,0,0,193756746,0.9981136797242801,0.9990555239340242
4,0,2,2,0,3,5,0,2,0,3,5,0,0,0,0,205079229,0.9991250049956251,0.9995624781239062
4,1,0,2,0,7,7,2,2,0,7,7,2,0,0,0,442939760,0.8042488271328736,0.91131498470948
4,1,0,1,2,3,6,0,1,2,3,6,0,0,0,0,195301396,0.9801452752818729,0.9926545750599304
4,1,1,2,0,1,3,0,2,0,1,3,0,0,0,0,149151410,0.8000160647695378,0.8464208102234764
4,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,104044693,0.848016184992686,0.8832551485510863
4,1,2,3,0,1,3,1,3,0,1,3,1,0,0,0,277944420,0.9986125007021495,0.9993062630075686
4,1,2,4,0,1,5,0,4,0,1,5,0,0,0,0,223646349,0.997913359531213,0.9989555645892617
5,0,0,4,0,5,9,0,4,0,5,9,0,0,0,0,372009177,0.9719908355725541,0.9896534305147126
5,0,0,1,0,3,4,0,1,0,3,4,0,0,0,0,214310451,0.9800918064486046,0.9926158038147138
5,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,104939305,0.9034537070468343,0.9260729947170333
5,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,76127885,0.8982535082148236,0.9220408864456279
5,0,2,3,0,2,5,0,3,0,2,5,0,0,0,0,221099771,0.9978016616529634,0.9988989953332417
5,0,2,1,0,1,2,0,1,0,1,2,0,0,0,0,128687881,0.9988127716302915,0.9994060309739217
5,1,0,1,0,8,9,0,1,0,8,9,0,0,0,0,361948510,0.9728683910713327,0.9899581552020382
5,1,0,2,0,7,9,0,2,0,7,9,0,0,0,0,314268123,0.9745357481494838,0.9905728394389955
5,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,181909118,0.9178102258012029,0.9361903155053147
5,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,131679745,0.9087094748366068,0.9292936101375034
5,1,2,2,0,3,5,0,2,0,3,5,0,0,0,0,292226798,0.9984631178772503,0.999230822144818
5,1,2,3,0,0,3,0,3,0,0,3,0,0,0,0,114383352,0.9959032379356659,0.9979473829132144
6,0,0,3,1,0,2,2,6,1,0,3,4,0,3,0,874475492,0.8851465257586253,0.9543301490220283
6,0,0,1,2,0,3,0,2,2,0,4,0,1,0,0,515183149,0.9175795852581646,0.9679371345435674
6,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,227654201,0.9024803494340002,0.925298049755358
